asset_sub_category,plan_name,time_range,avg_annual_sd,avg_beta,avg_sharpe_ratio,avg_jensens_alpha,avg_treynor_ratio,avg_information_ratio,avg_sortino_ratio,avg_r_squared,avg_max_draw_down,avg_upside_capture,avg_downside_capture
10 Y Gilt,Direct,3Y,3.84085,0.8616,-0.48527499999999996,-0.23565,,,,,,,
Aggressive Hybrid Fund,Direct,3Y,17.516456666666663,1.1710333333333334,0.4882333333333334,0.9248999999999999,,,,,,,
Arbitrage,Direct,3Y,0.7262826086956522,0.15611739130434782,-3.5936304347826096,-1.9332608695652176,,,,,,,
Balanced Hybrid Fund,Direct,3Y,,,,,,,,,,,
Banking & PSU Fund,Direct,3Y,2.1641749999999997,1.0072375000000002,-0.57618125,-0.07325624999999997,,,,,,,
Conservative Hybrid Fund,Direct,3Y,7.010076190476191,1.036733333333333,0.3121142857142856,1.0634761904761905,,,,,,,
Corporate Bond Fund,Direct,3Y,2.0484499999999994,1.068861111111111,-0.46672777777777774,0.09518888888888888,,,,,,,
Country Specific - Brazil,Direct,3Y,38.0338,1.0651,-0.5253,-12.6754,,,,,,,
Country Specific - China,Direct,3Y,24.8542,0.2389,-0.0718,1.1803,,,,,,,
Country Specific - Japan,Direct,3Y,17.5024,0.6531,-0.3067,-3.8778,,,,,,,
Country Specific - Taiwan,Direct,3Y,,,,,,,,,,,
Country Specific - US,Direct,3Y,19.79802,0.8234199999999999,0.19174000000000002,4.6879,,,,,,,
Credit Risk Fund,Direct,3Y,9.26685,0.42324285714285714,-0.14547142857142856,1.855221428571429,,,,,,,
Diversified,Direct,3Y,19.26007142857143,0.7140285714285713,0.0039142857142857096,1.1709857142857143,,,,,,,
Dynamic Asset Allocation,Direct,3Y,12.536804999999998,0.6297250000000001,0.373945,0.10482499999999992,,,,,,,
Dynamic Bond,Direct,3Y,2.864945454545455,0.6866181818181818,-0.45935454545454557,-0.22058636363636355,,,,,,,
ETF - FOF,Direct,3Y,,,,,,,,,,,
Equity - FOF,Direct,3Y,22.888233333333332,0.9760999999999999,0.36956666666666665,1.2223,,,,,,,
Equity Savings Fund,Direct,3Y,8.957009523809525,0.5117428571428573,0.28195238095238095,-0.702795238095238,,,,,,,
Flexi - Cap,Direct,3Y,21.39136086956522,0.9169478260869566,0.45996521739130436,0.6544956521739129,,,,,,,
Floater Fund,Direct,3Y,1.453585714285714,0.8370571428571428,-0.8689,1.4059285714285714,,,,,,,
Focused,Direct,3Y,22.019742105263152,0.9392105263157894,0.44814210526315795,0.5276421052631579,,,,,,,
Fund of Fund,Direct,3Y,,,,,,,,,,,
Fund of Funds - Gold,Direct,3Y,13.425155555555556,0.5388888888888889,0.2874777777777778,3.983344444444444,,,,,,,
Gilt Fund,Direct,3Y,2.993785,0.627615,-0.37854999999999994,-0.27396499999999996,,,,,,,
Global - FOF,Direct,3Y,,,,,,,,,,,
Index,Direct,3Y,22.717306896551722,0.990858620689655,0.37959310344827574,-0.04355862068965519,,,,,,,
Large & Mid Cap,Direct,3Y,22.54904166666667,0.9418333333333334,0.5190875,0.7169291666666665,,,,,,,
Large Cap,Direct,3Y,20.900328,0.9286440000000001,0.3718840000000001,0.09320399999999995,,,,,,,
Liquid,Direct,3Y,0.3195352941176471,1.0260676470588237,-9.251097058823532,-0.2453617647058823,,,,,,,
Long Duration Fund,Direct,3Y,3.5469000000000004,0.996885714285714,-0.41495714285714286,-0.02205714285714288,,,,,,,
Low Duration Fund,Direct,3Y,1.80018,0.58235,-1.4958,1.414635,,,,,,,
Medium Duration Fund,Direct,3Y,4.49455,0.45341666666666663,-0.29409166666666664,-0.27957499999999996,,,,,,,
Medium to Long Duration Fund,Direct,3Y,3.2988636363636363,0.8744636363636363,-0.40582727272727276,0.018681818181818174,,,,,,,
Mid Cap,Direct,3Y,22.894241304347826,0.9136260869565218,0.6165,0.9077195652173916,,,,,,,
Money Market Fund,Direct,3Y,0.6027882352941176,1.2233823529411767,-3.9207235294117653,2.284047058823529,,,,,,,
Multi - Cap,Direct,3Y,23.1958375,,0.5998374999999999,,,,,,,,
Multi Asset Allocation,Direct,3Y,13.379840000000002,0.8172000000000001,0.3853,1.5137266666666669,,,,,,,
Overnight Fund,Direct,3Y,0.27554399999999996,0.779512,-11.940691999999997,-1.1929720000000001,,,,,,,
Region Specific - ASEAN,Direct,3Y,19.8677,0.704,-0.092,-0.1057,,,,,,,
Region Specific - ASIA,Direct,3Y,18.627850000000002,0.46775,-0.2382,-2.79645,,,,,,,
Region Specific - Emerging Markets,Direct,3Y,18.738883333333334,0.56535,-0.22748333333333334,-2.9418,,,,,,,
Region Specific - Europe,Direct,3Y,22.074633333333328,0.9269999999999999,-0.129,-0.6653999999999999,,,,,,,
Sector Specific - Banks & Financial Services,Direct,3Y,30.54131818181818,0.9810636363636362,0.12435454545454544,1.1838363636363638,,,,,,,
Sector Specific - Defence,Direct,3Y,,,,,,,,,,,
Sector Specific - FMCG,Direct,3Y,14.5925,0.8811,0.6587,1.8896,,,,,,,
Sector Specific - Pharma,Direct,3Y,20.2523,0.887675,0.8402250000000001,5.0832625,,,,,,,
Sector Specific - Technology,Direct,3Y,23.86282,0.9686400000000001,0.8896599999999999,6.76562,,,,,,,
Sector Specific - Transportation,Direct,3Y,27.2282,,0.3995,,,,,,,,
Short Duration Fund,Direct,3Y,1.6590142857142864,0.8723523809523809,-2.4335309523809516,0.5393023809523809,,,,,,,
Small Cap,Direct,3Y,26.167394444444447,0.8525833333333334,0.9508055555555557,7.040555555555556,,,,,,,
