scheme_code,market_cap,yield_to_maturity,average_maturity,modified_duration,pe_ratio,portfolio_turnover_ratio,row_num
119544,"{'market_cap_large': 68.5324, 'market_cap_mid': 15.6949, 'market_cap_others': 1.6205, 'market_cap_small': 14.1521}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",34.2407,0.29,1
118473,"{'market_cap_large': 68.3554, 'market_cap_mid': 11.5114, 'market_cap_others': 7.4671, 'market_cap_small': 12.6661}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",35.7957,0.32,1
148815,"{'market_cap_large': 0.0, 'market_cap_mid': 2.5505, 'market_cap_others': 0.0562, 'market_cap_small': 97.3933}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",49.1003,0.0,1
153291,"{'market_cap_large': 29.6042, 'market_cap_mid': 39.9931, 'market_cap_others': 2.0552, 'market_cap_small': 28.3474}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",64.5569,0.0,1
151917,"{'market_cap_large': 57.8639, 'market_cap_mid': 24.382, 'market_cap_others': 4.877, 'market_cap_small': 12.8771}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",38.977,0.78,1
151916,"{'market_cap_large': 31.0043, 'market_cap_mid': 10.6031, 'market_cap_others': 14.0817, 'market_cap_small': 44.3108}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.5398,2.4,1
152968,"{'market_cap_large': 68.9158, 'market_cap_mid': 17.8431, 'market_cap_others': 0.2592, 'market_cap_small': 12.9818}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",37.1402,0.0,1
151791,"{'market_cap_large': 39.4625, 'market_cap_mid': 2.6104, 'market_cap_others': 33.0628, 'market_cap_small': 24.8644}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.6421,5.19,1
152889,"{'market_cap_large': 50.9395, 'market_cap_mid': 47.4668, 'market_cap_others': 0.0751, 'market_cap_small': 1.5187}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",42.0111,0.0,1
153258,"{'market_cap_large': 40.2029, 'market_cap_mid': 26.8053, 'market_cap_others': 11.327, 'market_cap_small': 21.6648}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",63.0506,0.05,1
152990,"{'market_cap_large': 70.1606, 'market_cap_mid': 19.383, 'market_cap_others': -0.0833, 'market_cap_small': 10.5396}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",17.2725,0.0,1
135781,"{'market_cap_large': 67.247, 'market_cap_mid': 15.7672, 'market_cap_others': 0.931, 'market_cap_small': 16.0549}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",32.1054,1.21,1
118481,"{'market_cap_large': 59.8946, 'market_cap_mid': 14.2628, 'market_cap_others': 10.6878, 'market_cap_small': 15.1548}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",35.4881,0.6,1
147778,"{'market_cap_large': 11.8989, 'market_cap_mid': 66.5477, 'market_cap_others': 2.6269, 'market_cap_small': 18.9265}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",42.8096,0.7,1
152962,"{'market_cap_large': 62.4863, 'market_cap_mid': 13.503, 'market_cap_others': 10.7311, 'market_cap_small': 13.2796}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",48.5605,0.0,1
133568,"{'market_cap_large': 72.7954, 'market_cap_mid': 15.3585, 'market_cap_others': 0.5346, 'market_cap_small': 11.3115}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",0.0,0.48,1
152796,"{'market_cap_large': 24.1247, 'market_cap_mid': 34.2622, 'market_cap_others': 17.1899, 'market_cap_small': 24.4232}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",73.1369,1.72,1
148595,"{'market_cap_large': 44.0881, 'market_cap_mid': 6.4003, 'market_cap_others': 34.7323, 'market_cap_small': 14.7793}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",29.4032,1.16,1
152158,"{'market_cap_large': 69.1938, 'market_cap_mid': 9.169, 'market_cap_others': 2.0847, 'market_cap_small': 19.5525}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",32.1543,0.0,1
