scheme_code,amc_code,amc_name,scheme_name,scheme_name_unique,date_of_inception,asset_category,asset_sub_category,option_name,plan_name,risk_profile,risk_rating,benchmark,nav,nav_date,fund_size,fund_manager,isin_dividend_payout_or_growth,isin_dividend_reinvest,bse_txn,bse_code_payout_or_growth,bse_code_reinvest,expense_ratio_s_d,objective,scheme_doc_url,riskometer,vr_rating,final_benchmark,exit_load,txn_info,row_num
118387,AMC16,Bandhan AMC Limited,Bandhan Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth,Bandhan G-Sec-Constant Maturity Plan,01-Jan-13,Fixed Income,10 Y Gilt,Growth,Direct,Balanced,5.5,CRISIL 10 Year Gilt Index,46.6511,2025-06-11 00:00:00+00:00,355.959,Harshal Joshi,INF194K01P38,,Y,DGSG-GR,,0.14,The Scheme Seeks To Generate Optimal Returns With High Liquidity By Investing In Government Securities Such That Weighted Average Portfolio Maturity Of Around 10 Years.,https://bandhanmutual.com/downloads/sid,Moderate,Not Rated,AUB7,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil'}","{'min_invest': 1000.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
150410,AMC39,UTI Asset Management Company Private Limited,UTI Gilt Fund with 10 year Constant Duration - Direct Plan - Growth Option,UTI Gilt Fund with 10 year Constant Duration,18-Jul-22,Fixed Income,10 Y Gilt,Growth,Direct,Balanced,5.5,CRISIL 10 Year Gilt Index,12.8173,2025-06-11 00:00:00+00:00,172.8022,Jaydeep Bhowal,INF789F1AVR7,,Y,UTGFG1-GR,,0.23,The Investment Objective Of The Scheme Is To Generate Optimal Returns With High Liquidity By Investing In A Portfolio Of Government Securities Such That Weighted Average Portfolio Maturity Is Around 10 Years. However There Can Be No Assurance That The Investment Objective Of The Scheme Will Be Achieved. The Scheme Does Not Guarantee / Indicate Any Returns.,https://www.utimf.com/forms-and-downloads/,Moderate,Not Rated,AUB7,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil'}","{'min_invest': 5000.0, 'min_invest_sip': 500.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
131061,AMC14,ICICI Prudential Asset Management Company Limited,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth,ICICI Prudential Constant Maturity Gilt Fund,12-Sep-14,Fixed Income,10 Y Gilt,Growth,Direct,Balanced,5.5,CRISIL 10 Year Gilt Index,25.3458,2025-06-11 00:00:00+00:00,2530.856,Manish Banthia,INF109KA1O37,,Y,IC8698-GR,,0.23,To Generate Income Primarily By Investing In Portfolio Of Government Securities While Maintaining Constant Maturity Of The Portfolio At 10 Years.,https://www.icicipruamc.com/Downloads/sid-mutual-fund-new.aspx,Moderate,Not Rated,AUB7,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil'}","{'min_invest': 5000.0, 'min_invest_sip': 1000.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
131301,AMC8,DSP Investment Managers Private Limited,DSP 10Y G-Sec Fund - Direct Plan - Growth,DSP 10Y G-Sec Fund,26-Sep-14,Fixed Income,10 Y Gilt,Growth,Direct,Balanced,5.5,CRISIL 10 Year Gilt Index,22.4437,2025-06-11 00:00:00+00:00,61.3874,Shantanu Godambe,INF740K019I5,,Y,DS820-GR,,0.31,The Investment Objective Of The Scheme Is To Seek To Generate Returns Commensurate With Risk From A Portfolio Of Government Securities Such That The Macaulay Duration Of The Portfolio Is Similar To The 10 Year Benchmark Government Security.,https://www.dspim.com/downloads?category=Information%20Documents&sub_category=SID/SAI,Moderate,Not Rated,AUB7,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'NIL'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
120137,AMC33,SBI Funds Management Private Limited,SBI Magnum Constant Maturity Fund - Direct Plan - Growth,SBI Magnum Constant Maturity Fund,02-Jan-13,Fixed Income,10 Y Gilt,Growth,Direct,Balanced,5.5,NIFTY 10 yr Benchmark G-Sec Index,66.4261,2025-06-11 00:00:00+00:00,1885.6897,Tejas Soman,INF200K01SK7,,Y,SBD038-GR,,0.31,To Provide Returns To The Investors Generated Through Investments Predominantly In Government Securities Issued By The Central Government And/Or State Government Such That The Average Maturity Of The Portfolio Is Around 10 Years.,https://www.sbimf.com/en-us/offer-document-sid-kim,Moderate,Not Rated,OB41,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil'}","{'min_invest': 5000.0, 'min_invest_sip': 500.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
141006,AMC4,BNP Paribas Asset Management India Pvt. Ltd.,BNP Paribas Substantial Equity Hybrid Fund- Direct Plan - Growth Option,BNP Paribas Substantial Equity Hybrid Fund,07-Apr-17,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,19.0606,2022-03-13 00:00:00+00:00,763.7008,,INF251K01OZ7,,Y,BN629DG-GR,,0.64,"The Scheme Seeks To Generate Income And Capital Appreciation By Investing In A Diversified Portfolio Of Equity And Equity Related Instruments And Fixed Income Instruments. However, There Can Be No Assurance That The Investment Objectives Of The Scheme Will Be Realized. The Scheme Does Not Guarantee/Indicate Any Returns.",https://www.bnpparibasmf.in/downloads/scheme-information-documents,Very High,*****,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
135753,AMC28,Principal Asset Management Company Private Limited,Principal Retirement Savings Fund - Moderate Plan - Direct Sub-Plan - Growth,Principal Retirement Savings Fund - Moderate Plan,14-Dec-15,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,14.7174,2020-12-24 00:00:00+00:00,0.7279,,INF173K01MV6,,Y,PCAMZG-GR,,1.29,"The Investment Objective Of The Scheme Is To Provide Capital Appreciation And Income Generation To Enable Investors Save Over The Long Term Towards Their Retirement Savings Goals, By Investing In A Mix Of Securities Comprising Of Equity, Equity Related Instruments And Fixed Income Securities.",https://www.principalindia.com/downloads-funds.aspx,Moderately High,Not Rated,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
145602,AMC18,Indiabulls Asset Management Company Limited,Indiabulls Equity Hybrid Fund - Direct Plan - Half Yearly Dividend Option,Indiabulls Equity Hybrid Fund,13-Dec-18,Hybrid,Aggressive Hybrid Fund,Dividend,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,22.4172,2024-12-05 00:00:00+00:00,41.3155,,INF666M01FH8,INF666M01FI6,Y,INEHDH-DP,INEHDH-DR,0.61,To Generate Periodic Returns And Long Term Capital Appreciation From A Judicious Mix Of Equity And Debt Instruments.,http://www.indiabullsamc.com/downloads/sid-sai/,Moderately High,Not Rated,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
144681,AMC26,Motilal Oswal Asset Management Company Limited,Motilal Oswal Equity Hybrid Fund (MOFEH) - Direct Plan Growth Option,Motilal Oswal Equity Hybrid Fund,14-Sep-18,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,19.8323,2024-01-19 00:00:00+00:00,417.8921,,INF247L01692,,N,MOHEGD-GR,,0.91,"The Investment Objective Is To Generate Equity Linked Returns By Investing In A Combined Portfolio Of Equity And Equity Related Instruments, Debt, Money Market Instruments And Units Issued By Realestate Investment Trust (Reit) & Infrastructure Investment Trust (Invit).",https://www.motilaloswalmf.com/downloads/mutual-fund/SID,Very High,***,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
119484,AMC28,Principal Asset Management Company Private Limited,Principal Hybrid Equity Fund- Direct Plan - Growth Option,Principal Hybrid Equity Fund,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,122.4,2021-12-30 00:00:00+00:00,1072.842,,INF173K01FE6,,Y,PCSBZG-GR,,1.02,The Scheme Seeks Long-Term Capital Appreciation And Current Income From A Balanced Portfolio Of Equity And Debt Securities,https://www.principalindia.com/all-downloads/funds-related,Very High,***,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
