scheme_code,nav_value,date
144173,12.8057,2022-12-12
144173,12.808,2022-12-13
144173,12.8111,2022-12-14
144173,12.8129,2022-12-15
144173,12.8146,2022-12-16
144173,12.8214,2022-12-19
144173,12.8234,2022-12-20
144173,12.8257,2022-12-21
144173,12.8287,2022-12-22
144173,12.8315,2022-12-23
144173,12.8386,2022-12-26
144173,12.841,2022-12-27
144173,12.8447,2022-12-28
144173,12.8473,2022-12-29
144173,12.8519,2022-12-30
144173,12.8794,2023-01-12
144173,12.881,2023-01-13
144173,12.8875,2023-01-16
144173,12.8934,2023-01-19
144173,12.8959,2023-01-20
144173,12.9016,2023-01-23
144173,12.9045,2023-01-24
144173,12.9071,2023-01-25
144173,12.9122,2023-01-27
144173,12.9181,2023-01-30
144173,12.9209,2023-01-31
144173,12.9248,2023-02-01
144173,12.9276,2023-02-02
144173,12.9308,2023-02-03
144173,12.9382,2023-02-06
144173,12.9402,2023-02-07
144173,12.941,2023-02-08
144173,12.9427,2023-02-09
144173,12.9464,2023-02-10
144173,12.9544,2023-02-13
144173,12.9555,2023-02-14
144173,12.9573,2023-02-15
144173,12.9601,2023-02-16
144173,12.9623,2023-02-17
144173,12.9688,2023-02-20
144173,12.9714,2023-02-21
144173,12.973,2023-02-22
144173,12.9745,2023-02-23
144173,12.9764,2023-02-24
144173,12.9817,2023-02-27
144173,12.9839,2023-02-28
144173,12.9857,2023-03-01
144173,12.9864,2023-03-02
144173,12.9881,2023-03-03
144173,12.9947,2023-03-06
144173,12.999,2023-03-08
144173,13.0026,2023-03-09
144173,13.0077,2023-03-10
144173,13.0203,2023-03-13
144173,13.0246,2023-03-14
144173,13.0267,2023-03-15
144173,13.0281,2023-03-16
144173,13.0296,2023-03-17
144173,13.04,2023-03-20
144173,13.044,2023-03-21
144173,13.0512,2023-03-23
144173,13.0522,2023-03-24
144173,13.0548,2023-03-27
144173,13.0568,2023-03-28
144173,13.0667,2023-03-29
144173,13.082,2023-03-31
144173,13.0894,2023-04-03
144173,13.0947,2023-04-05
144173,13.1036,2023-04-06
144173,13.1135,2023-04-10
144173,13.1162,2023-04-11
144173,13.1202,2023-04-12
144173,13.124,2023-04-13
144173,13.1337,2023-04-17
144173,13.1372,2023-04-18
144173,13.14,2023-04-19
144173,13.143,2023-04-20
144173,13.1457,2023-04-21
144173,13.1529,2023-04-24
144173,13.1556,2023-04-25
144173,13.1581,2023-04-26
144173,13.1601,2023-04-27
144173,13.1622,2023-04-28
144173,13.1697,2023-05-02
144173,13.1729,2023-05-03
144173,13.1753,2023-05-04
144173,13.1858,2023-05-08
144173,13.1881,2023-05-09
144173,13.1903,2023-05-10
144173,13.1923,2023-05-11
144173,13.1953,2023-05-12
144173,13.2035,2023-05-15
144173,13.2075,2023-05-16
144173,13.211,2023-05-17
144173,13.2144,2023-05-18
144173,13.2181,2023-05-19
144173,13.2293,2023-05-22
144173,13.2302,2023-05-23
144173,13.2322,2023-05-24
144173,13.2353,2023-05-25
144173,13.2374,2023-05-26
144173,13.2431,2023-05-29
144173,13.2461,2023-05-30
144173,13.2485,2023-05-31
144173,13.2518,2023-06-01
144173,13.2556,2023-06-02
144173,13.2632,2023-06-05
144173,13.2663,2023-06-06
144173,13.269,2023-06-07
144173,13.2706,2023-06-08
144173,13.2717,2023-06-09
144173,13.2784,2023-06-12
144173,13.2812,2023-06-13
144173,13.2852,2023-06-14
144173,13.2856,2023-06-15
144173,13.2895,2023-06-16
144173,13.2976,2023-06-19
144173,13.2991,2023-06-20
144173,13.3015,2023-06-21
144173,13.3042,2023-06-22
144173,13.3061,2023-06-23
144173,13.3134,2023-06-26
144173,13.3145,2023-06-27
144173,13.3177,2023-06-28
144173,13.3229,2023-06-30
144173,13.3317,2023-07-03
144173,13.3354,2023-07-04
