scheme_code,as_on_date,sector,holding_perc,market_value
152408,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,5.09,95.61
152408,2025-04,Leisure Products,4.76,89.21
152408,2025-04,Automobiles,4.03,75.35
152408,2025-04,Petroleum Products,3.9,72.92
152408,2025-04,Cement,3.73,69.66
152408,2025-04,Diversified FMCG,3.28,61.26
152408,2025-04,Consumer Durables,3.22,60.14
152408,2025-04,Telecom,2.49,46.55
152408,2025-04,Chemicals,2.39,44.64
152408,2025-04,Transporation,2.34,43.78
152408,2025-04,Beverages,2.12,39.71
152408,2025-04,Real Estate,2.04,38.05
152408,2025-04,Textiles,1.96,36.62
152408,2025-04,Agriculture,1.72,32.14
152408,2025-04,Construction,1.66,31.1
152408,2025-04,Electric Equipment,1.54,28.86
152408,2025-04,Ferrous Metal,1.29,24.14
152408,2025-04,Aerospace & Defence,1.24,23.17
152408,2025-04,Insurance,1.24,23.12
152408,2025-04,Capital Markets,1.03,19.32
152408,2025-04,Retail,0.99,18.49
152408,2025-04,Non Ferrous Metals,0.93,17.45
152408,2025-04,Diversified,0.89,16.67
152408,2025-04,Personal Products,0.82,15.27
152408,2025-04,Industrial Products,0.7,13.13
152408,2025-04,Retailing,0.48,8.96
152408,2025-04,Fertilizers,0.25,4.76
152408,2025-04,Derivatives(Index/Stock Futures),-2.92,-54.72
148053,2025-04,Commodity,17.29,635.9
148053,2025-04,Banks,16.77,617.69
148053,2025-04,Govt-Sec,9.12,335.73
148053,2025-04,Petroleum Products,5.07,186.78
148053,2025-04,Telecom,4.56,168.1
148053,2025-04,Finance,4.32,158.99
148053,2025-04,Internet and Technology,3.73,136.97
148053,2025-04,Automobiles,3.61,132.76
148053,2025-04,Construction,3.56,130.49
148053,2025-04,Health Care,3.28,120.7
148053,2025-04,Pharmaceuticals,3.16,116.17
148053,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,3.01,110.01
148053,2025-04,Fertilizers,3.01,110.56
148053,2025-04,Power,2.85,105.06
148053,2025-04,Cement,2.8,102.64
148053,2025-04,Insurance,2.73,100.47
148053,2025-04,Real Estate,2.02,74.46
148053,2025-04,Industrial Products,1.76,65.17
148053,2025-04,Transporation,1.39,51.12
148053,2025-04,Electric Equipment,0.97,35.8
148053,2025-04,Diversified FMCG,0.95,35.12
148053,2025-04,Mutual Fund Units,0.79,28.95
148053,2025-04,Consumer Durables,0.68,25.08
148053,2025-04,Leisure Products,0.64,23.6
148053,2025-04,Gas,0.6,22.22
148053,2025-04,Capital Markets,0.48,17.72
148053,2025-04,Textiles,0.35,13.0
148053,2025-04,Non Ferrous Metals,0.26,9.45
148053,2025-04,Entertainment,0.24,8.72
120425,2025-04,Govt-Sec,32.77,2396.33
120425,2025-04,Finance,26.96,1972.25
120425,2025-04,Banks,11.94,872.89
120425,2025-04,Real Estate,7.57,553.36
120425,2025-04,Infrastructure,7.31,532.99
120425,2025-04,Health Care,4.61,336.55
120425,2025-04,Consumer Staples,2.13,156.25
120425,2025-04,Others,1.81,132.06
120425,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,1.75,128.45
120425,2025-04,Power,1.35,98.38
120425,2025-04,Chemicals,0.69,50.51
120425,2025-04,Telecom,0.69,50.23
120425,2025-04,Alternative Investment Fund,0.45,32.98
119350,2025-04,Banks,18.16,68.34
119350,2025-04,Insurance,6.64,25.03
119350,2025-04,Finance,6.58,24.79
119350,2025-04,Ferrous Metal,6.45,24.31
119350,2025-04,Automobiles,5.91,22.24
119350,2025-04,Pharmaceuticals,5.51,20.75
119350,2025-04,Internet and Technology,4.97,18.69
119350,2025-04,Petroleum Products,4.32,16.27
119350,2025-04,Construction,3.97,14.94
119350,2025-04,Telecom,3.84,14.44
119350,2025-04,Power,3.53,13.29
119350,2025-04,Health Care,3.49,13.15
119350,2025-04,Retailing,3.13,11.78
119350,2025-04,Real Estate,2.87,10.8
119350,2025-04,Retail,2.75,10.37
119350,2025-04,Diversified Metals & Mining,2.73,10.29
119350,2025-04,Oil & Gas,2.14,8.04
119350,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,1.74,6.49
119350,2025-04,Chemicals,1.62,6.08
119350,2025-04,Entertainment,1.55,5.83
119350,2025-04,Consumer Durables,1.44,5.41
119350,2025-04,Industrial Products,1.41,5.29
119350,2025-04,Fertilizers,1.29,4.85
119350,2025-04,Agriculture,1.08,4.07
119350,2025-04,Cement,1.06,4.0
119350,2025-04,Electric Equipment,0.87,3.27
119350,2025-04,Aerospace & Defence,0.84,3.15
119350,2025-04,Govt-Sec,0.11,0.43
118769,2025-04,Banks,21.54,20.63
118769,2025-04,Finance,7.93,7.59
118769,2025-04,Petroleum Products,7.12,6.82
118769,2025-04,Pharmaceuticals,6.45,6.18
118769,2025-04,Internet and Technology,5.81,5.56
118769,2025-04,Automobiles,5.68,5.45
118769,2025-04,Construction,4.71,4.51
118769,2025-04,Telecom,3.7,3.54
118769,2025-04,Aerospace & Defence,3.12,2.98
118769,2025-04,Power,2.96,2.84
118769,2025-04,Capital Markets,2.51,2.41
118769,2025-04,Transporation,2.47,2.36
118769,2025-04,Beverages,2.45,2.35
118769,2025-04,Diversified Metals & Mining,2.41,2.31
118769,2025-04,Agriculture,2.23,2.13
118769,2025-04,Cement,2.14,2.05
118769,2025-04,Textiles,2.14,2.05
118769,2025-04,Leisure Products,1.97,1.89
118769,2025-04,Non Ferrous Metals,1.96,1.87
118769,2025-04,Insurance,1.94,1.86
118769,2025-04,Personal Products,1.93,1.85
118769,2025-04,Consumer Durables,1.89,1.81
118769,2025-04,Fertilizers,1.85,1.77
118769,2025-04,Chemicals,1.57,1.5
118769,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,1.52,1.44
132989,2025-04,Mutual Fund Units,79.86,54.8
132989,2025-04,ETF Units,15.3,10.5
132989,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,4.84,3.32
149141,2025-04,Banks,20.98,118.56
149141,2025-04,Pharmaceuticals,10.58,59.8
149141,2025-04,Internet and Technology,9.79,55.29
149141,2025-04,Automobiles,8.66,48.84
149141,2025-04,Petroleum Products,5.37,30.35
149141,2025-04,Electric Equipment,4.84,27.35
149141,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,4.25,24.09
149141,2025-04,Construction,3.72,21.05
149141,2025-04,Industrial Products,3.27,18.45
149141,2025-04,Power,3.19,18.01
149141,2025-04,Retailing,3.06,17.29
149141,2025-04,Beverages,2.91,16.44
149141,2025-04,Finance,2.51,14.2
149141,2025-04,Diversified FMCG,2.42,13.7
149141,2025-04,Telecom,2.08,11.75
149141,2025-04,Retail,1.71,9.67
149141,2025-04,Cement,1.58,8.91
149141,2025-04,Real Estate,1.38,7.79
149141,2025-04,Chemicals,1.31,7.41
149141,2025-04,Aerospace & Defence,1.15,6.5
149141,2025-04,Insurance,1.07,6.02
149141,2025-04,Agriculture,1.02,5.77
149141,2025-04,Govt-Sec,1.02,5.78
149141,2025-04,Health Care,0.98,5.55
149141,2025-04,Consumer Durables,0.97,5.51
149141,2025-04,Entertainment,0.56,3.16
149141,2025-04,Transporation,0.27,1.51
149141,2025-04,Derivatives(Index/Stock Futures),-0.65,-3.63
152684,2025-04,Finance,16.56,404.93
152684,2025-04,Pharmaceuticals,15.92,389.61
152684,2025-04,Banks,15.52,379.51
152684,2025-04,Fertilizers,5.71,139.73
152684,2025-04,Internet and Technology,5.7,139.5
152684,2025-04,Cement,4.57,111.88
152684,2025-04,Telecom,3.88,95.0
152684,2025-04,Health Care,3.53,86.46
152684,2025-04,Beverages,3.46,84.71
152684,2025-04,Agriculture,3.2,78.2
152684,2025-04,Chemicals,3.0,73.33
152684,2025-04,Automobiles,2.77,67.66
152684,2025-04,Retailing,2.7,66.09
152684,2025-04,Industrial Products,2.49,60.97
152684,2025-04,Transporation,1.92,46.86
152684,2025-04,Capital Markets,1.88,45.99
152684,2025-04,Non Ferrous Metals,1.85,45.32
152684,2025-04,Real Estate,1.75,42.84
152684,2025-04,Consumer Durables,1.37,33.45
152684,2025-04,Power,0.9,21.91
152684,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,0.76,18.64
152684,2025-04,Leisure Products,0.58,14.21
151745,2025-04,Govt-Sec,25.91,498.54
151745,2025-04,Banks,14.25,274.46
151745,2025-04,Cash/Deposits/Margins/Treps/Repo/Swaps,13.54,259.03
151745,2025-04,Finance,9.04,173.78
151745,2025-04,REIT/InvIT,8.53,164.04
151745,2025-04,ETF Units,3.11,59.85
151745,2025-04,Fertilizers,3.01,57.91
151745,2025-04,Internet and Technology,2.31,44.45
151745,2025-04,Cement,2.07,39.85
151745,2025-04,Telecom,1.63,31.31
151745,2025-04,Automobiles,1.51,29.21
151745,2025-04,Pharmaceuticals,1.47,28.32
151745,2025-04,Retailing,1.37,26.48
151745,2025-04,Chemicals,1.29,24.94
151745,2025-04,Overseas ETF Units,1.08,20.82
151745,2025-04,Petroleum Products,1.06,20.43
151745,2025-04,Consumer Durables,1.05,20.27
151745,2025-04,Construction,0.74,14.25
151745,2025-04,Electric Equipment,0.65,12.31
151745,2025-04,Insurance,0.63,12.04
151745,2025-04,Personal Products,0.59,11.27
151745,2025-04,Ferrous Metal,0.58,11.29
151745,2025-04,Health Care,0.57,11.09
151745,2025-04,Retail,0.51,9.89
151745,2025-04,Power,0.47,9.14
151745,2025-04,Oil & Gas,0.45,8.55
151745,2025-04,Aerospace & Defence,0.45,8.66
151745,2025-04,Transporation,0.43,8.35
