scheme_code,year,Q1,Q2,H1,Q3,Q4,H2,annual,YTD
120035,2024,-5.17,-11.1,-17.44,9.56,-18.68,-11.23,-26.93,
152415,2024,-0.78,14.35,15.6,7.87,-17.07,-10.84,3.53,
152657,2024,,0.14,0.14,6.91,-15.74,-9.67,-8.98,
150643,2024,14.98,17.78,35.2,7.2,-15.72,-9.48,22.98,
152557,2024,,12.17,12.17,7.18,-15.71,-9.43,2.06,
152770,2024,,,,8.04,-15.08,-8.25,-8.25,
119279,2024,-3.74,0.69,-1.23,10.37,-14.83,-6.43,-7.6,
120035,2021,-11.28,22.85,7.27,-20.11,-14.17,-30.25,-25.3,
120731,2024,12.56,14.92,30.75,5.82,-13.99,-8.78,20.06,
152158,2024,14.32,14.89,33.03,8.63,-13.97,-6.25,25.91,
120847,2024,8.41,11.6,23.45,3.22,-13.92,-11.38,9.91,
152417,2024,0.13,9.37,11.56,6.88,-13.52,-7.87,3.05,
150518,2024,13.35,10.84,29.68,5.59,-13.49,-8.75,19.09,
149230,2024,-8.03,-5.42,-13.09,21.59,-13.42,5.6,-8.02,
150521,2024,7.35,12.72,23.74,6.86,-13.34,-7.37,15.76,
119028,2024,7.7,10.47,22.33,6.49,-13.33,-7.5,13.76,
152430,2024,3.11,12.29,18.22,5.67,-13.16,-7.88,10.03,
150452,2024,12.25,13.32,28.95,5.62,-13.07,-7.83,20.08,
151781,2024,12.15,13.87,29.38,5.72,-13.01,-7.68,20.69,
150716,2024,9.39,18.05,30.9,4.2,-13.0,-9.09,20.8,
150591,2024,12.49,11.99,28.63,5.66,-12.99,-7.71,19.93,
149800,2024,12.44,12.47,29.12,5.65,-12.92,-7.64,20.49,
120587,2024,-4.59,6.68,1.93,13.15,-12.79,-1.62,1.17,
148925,2024,13.39,9.77,27.39,3.31,-12.78,-10.11,14.87,
147844,2024,14.17,8.89,27.97,2.46,-12.71,-10.77,14.57,
146643,2024,4.32,4.84,10.04,11.92,-12.63,-2.2,8.06,
152931,2024,,,,,-12.55,-12.55,-12.55,
150487,2024,12.67,5.82,20.3,10.86,-12.51,-3.04,16.98,
151916,2024,12.59,14.0,31.48,7.56,-12.48,-5.8,25.25,
152616,2024,,3.99,3.99,10.92,-12.42,-2.87,1.3,
151757,2024,7.06,11.88,23.14,10.89,-12.35,-2.89,20.66,
120684,2024,13.59,16.1,34.06,6.86,-12.13,-5.88,27.37,
149288,2024,13.57,14.71,33.78,6.84,-12.12,-5.87,27.1,
149838,2024,13.6,14.97,34.09,6.84,-12.11,-5.88,27.39,
146381,2024,13.52,14.95,33.99,6.91,-12.09,-5.78,27.42,
151160,2024,13.55,15.96,33.85,6.84,-12.03,-5.78,27.3,
152189,2024,18.17,12.95,36.3,3.8,-11.95,-8.91,25.55,
152370,2024,1.9,6.76,9.75,9.93,-11.94,-3.24,6.67,
150639,2024,5.07,7.04,13.17,9.93,-11.94,-3.24,9.98,
141877,2024,5.15,6.77,13.25,9.95,-11.91,-3.19,10.12,
149107,2024,5.11,6.79,13.24,9.95,-11.91,-3.18,10.12,
148962,2024,5.12,6.74,13.19,9.96,-11.9,-3.16,10.08,
148646,2024,-2.69,-5.11,-8.02,21.49,-11.85,6.09,-2.54,
150899,2024,13.7,14.92,34.15,6.84,-11.83,-5.57,27.86,
147796,2024,13.61,14.87,33.99,6.85,-11.82,-5.55,27.74,
149790,2024,10.99,16.76,32.25,6.26,-11.82,-6.21,24.94,
120834,2024,9.86,7.47,20.34,6.3,-11.81,-6.56,12.8,
149466,2024,13.58,14.7,33.74,6.88,-11.8,-5.51,27.56,
148745,2024,13.56,16.05,33.97,6.9,-11.74,-5.42,27.9,
119277,2024,1.63,5.67,10.02,19.11,-11.74,6.32,16.32,
148454,2024,1.52,4.22,7.1,6.98,-11.71,-4.94,3.21,
151901,2024,13.95,17.87,36.75,6.11,-11.68,-5.96,29.58,
147662,2024,4.5,11.75,20.39,0.43,-11.67,-11.0,8.87,
149447,2024,13.3,16.07,33.7,6.79,-11.67,-5.44,27.61,
152336,2024,4.8,4.33,10.66,7.85,-11.62,-4.85,6.56,
150515,2024,11.01,18.06,32.49,6.1,-11.6,-6.02,25.25,
146513,2024,13.28,14.81,33.87,6.97,-11.57,-5.39,27.79,
149847,2024,4.41,10.5,17.08,6.73,-11.55,-5.45,11.33,
119705,2024,1.49,6.98,12.66,10.42,-11.49,-2.41,10.51,
149254,2024,1.38,9.62,12.31,10.32,-11.49,-2.25,10.77,
149870,2024,8.56,9.41,20.95,8.1,-11.44,-4.26,16.47,
148564,2024,9.17,10.32,22.28,9.29,-11.43,-3.61,18.53,
152755,2024,,,,0.13,-11.31,-11.34,-11.34,
118724,2024,5.63,12.45,19.54,12.99,-11.29,-0.26,20.42,
151881,2024,9.18,12.4,24.35,6.84,-11.27,-4.91,18.67,
151458,2024,-0.82,14.48,15.54,4.64,-11.26,-6.58,9.0,
151791,2024,10.72,9.39,23.65,3.0,-10.98,-8.6,14.23,
119243,2024,13.2,15.52,35.25,0.96,-10.97,-9.72,23.27,
149919,2024,7.24,6.11,14.78,7.57,-10.96,-4.3,10.45,
150685,2024,10.46,17.24,30.08,8.47,-10.95,-3.07,26.82,
152881,2024,,,,,-10.94,-10.94,-10.94,
135813,2024,4.23,11.06,19.82,5.91,-10.91,-5.18,14.45,
152875,2024,,,,0.0,-10.87,-10.51,-10.51,
120780,2024,5.32,12.83,19.35,13.43,-10.84,0.98,21.49,
