asset_category,asset_sub_category
Commodity,ETF
Commodity,ETF Units
Commodity,Fund of Funds - Gold
Equity,ETF
Equity,ETF Units
Equity,Equity - FOF
Equity,Flexi - Cap
Equity,Focused
Equity,Index
Equity,Large & Mid Cap
Equity,Large Cap
Equity,Mid Cap
Equity,Multi - Cap
Equity,Sector Specific - Banks & Financial Services
Equity,Sector Specific - Defence
Equity,Sector Specific - FMCG
Equity,Sector Specific - Pharma
Equity,Sector Specific - Technology
Equity,Sector Specific - Transportation
Equity,Small Cap
Equity,Solution Oriented - Retirement
Equity,Tax Savings
Equity,Thematic - Agriculture & Food
Equity,Thematic - Business Cycles
Equity,Thematic - Commodities
Equity,Thematic - Consumption
Equity,Thematic - Contra
Equity,Thematic - Dividend Yield
Equity,Thematic - ESG
Equity,Thematic - Energy
Equity,Thematic - IPO
Equity,Thematic - Infrastructure
Equity,Thematic - Innovation
Equity,Thematic - MNC
Equity,Thematic - Manufacturing
Equity,Thematic - Momentum
Equity,Thematic - PSU
Equity,Thematic - Quant
Equity,Thematic - Service Industries
Equity,Thematic - Shariah
Equity,Value Fund
Fixed Income,10 Y Gilt
Fixed Income,Banking & PSU Fund
Fixed Income,Corporate Bond Fund
Fixed Income,Credit Risk Fund
Fixed Income,Dynamic Bond
Fixed Income,ETF
Fixed Income,ETF Units
Fixed Income,Floater Fund
Fixed Income,Gilt Fund
Fixed Income,Global - FOF
Fixed Income,Liquid
Fixed Income,Long Duration Fund
Fixed Income,Low Duration Fund
Fixed Income,Medium Duration Fund
Fixed Income,Medium to Long Duration Fund
Fixed Income,Money Market Fund
Fixed Income,Overnight Fund
Fixed Income,Short Duration Fund
Fixed Income,Solution Oriented - Retirement
Fixed Income,Ultra Short Duration Fund
Global,Country Specific - Brazil
Global,Country Specific - China
Global,Country Specific - Japan
Global,Country Specific - Taiwan
Global,Country Specific - US
Global,Diversified
Global,ETF - FOF
Global,ETF Units
Global,Fund of Fund
Global,Index
Global,Region Specific - ASEAN
Global,Region Specific - ASIA
Global,Region Specific - Emerging Markets
Global,Region Specific - Europe
Global,Thematic - Agriculture & Food
Global,Thematic - Energy
Global,Thematic - Mining & Metals
Global,Thematic - Precious Metals
Hybrid,Aggressive Hybrid Fund
Hybrid,Arbitrage
Hybrid,Balanced Hybrid Fund
Hybrid,Conservative Hybrid Fund
Hybrid,Dynamic Asset Allocation
Hybrid,Equity Savings Fund
Hybrid,Multi Asset Allocation
Hybrid,Solution Oriented - Children's Fund
Hybrid,Solution Oriented - Retirement
